ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Amp,Shift,Voltage,Temp,Humidity,Hs,Hp,Adj
12226.0,-34.02582201133998,150.66227605440383,3.2160000801086404,113600,44091.0,7.8,43439.58100000019,7.8,11.826189500000005,28.17106732499991,41.57168,33922.001083627976,27134.70936132267,0.02414133705887433
12228.0,-34.02581426452002,150.66227815000605,3.2160000801086404,113601,43715.0,7.8,43523.17200000019,7.8,11.823431500000005,28.172003279999906,41.60983,33995.387284775905,27176.743080063072,0.023080084558529286
12229.0,-34.02579808811936,150.66228252590497,3.2160000801086404,113603,43639.0,7.79,43550.29700000019,7.8,11.822052500000005,28.1724679199999,41.6556,34020.362082759035,27188.918539403432,0.02304970154891884
12233.0,-34.02578940192416,150.66228487561878,3.2160000801086404,113604,43588.0,7.79,43822.628000000186,7.79,11.817915500000005,28.1743518349999,41.64034,34260.81728282493,27324.039762553657,0.02692651153611525
12235.0,-34.02578210404772,150.66228684977668,3.2160000801086404,113605,44112.0,7.79,44082.887500000186,7.79,11.813261500000005,28.175294459999904,41.66934000000001,34494.13679918984,27448.58295280581,0.02936487288159917
12236.0,-34.02577496412516,150.66228878120629,3.2160000801086404,113606,44616.0,7.79,44232.6670000002,7.79,11.815847000000005,28.175765774999906,41.72275,34628.611463948444,27519.990677856364,0.03133405339086704
12238.0,-34.0257684509553,150.66229054309224,3.2160000801086404,113607,43920.0,7.81,44328.0625000002,7.81,11.817226000000005,28.1766803599999,41.75479,34746.165139888966,27525.04879988567,0.032774248284020764
12240.0,-34.025761703424905,150.66229236837535,3.2160000801086404,113608,44125.0,7.84,44512.23900000018,7.84,11.816881000000004,28.17761630999989,41.76852,34940.325346582445,27576.259176714702,0.03521304611062792
12242.0,-34.025753921210594,150.66229447355212,3.2160000801086404,113609,44844.0,7.81,44671.792500000185,7.81,11.815846500000005,28.1785802999999,41.80972,35111.60568847509,27616.67982164229,0.038150060389565255
12243.0,-34.025746707319286,150.66229642499113,3.2160000801086404,113610,44659.0,7.81,44840.917500000185,7.81,11.817225500000005,28.1790516149999,41.77768,35267.424568259914,27692.144146707797,0.04161924089883229
12246.0,-34.025739426234395,150.66229839460675,3.2160000801086404,113611,45053.0,7.82,45138.186000000205,7.82,11.817915500000005,28.1804521999999,41.74106,35568.484190905256,27790.02458656632,0.04752760604278272
12247.0,-34.025731338028436,150.66230058255772,3.2160000801086404,113612,44907.0,7.82,45133.813500000215,7.82,11.813261500000005,28.180910159999897,41.75479,35584.80313458184,27762.08981028266,0.04949765984124888
12249.0,-34.02572181722883,150.66230315804142,3.2160000801086404,113613,46791.0,7.84,45268.692500000194,7.84,11.813950500000004,28.181846109999896,41.63729,35728.6087440391,27797.1693169746,0.05143645766785632
12251.0,-34.02571306280959,150.66230552621062,3.2160000801086404,113614,44715.0,7.84,45429.092000000186,7.84,11.814985000000005,28.18276870499989,41.64034,35887.50308765158,27854.370100189502,0.05087607878366285
12252.0,-34.02570411118063,150.66230794772724,3.2160000801086404,113615,7.859999,7.8612253,45503.399000000194,7.86,11.812916500000005,28.183240014999896,41.6968,35959.940082494235,27882.360980208643,0.05184525961988129
12255.0,-34.025697630347054,150.66230970086585,3.2160000801086404,113616,45386.0,7.84,45547.5970000002,7.84,11.810503500000005,28.1845978749999,41.94858,36013.2331110649,27885.924327112363,0.054756468569973286
12257.0,-34.025690238380776,150.66231170047612,3.2160000801086404,113617,46533.0,7.84,45521.135500000186,7.84,11.808090500000004,28.1855338199999,42.03403,35989.13765293069,27873.791264556807,0.054195266723532136
12258.0,-34.02568139239247,150.6623140934158,3.2160000801086404,113618,44507.0,7.81,45501.908500000194,7.81,11.804988000000005,28.1859770899999,42.10422,35968.268497479985,27869.28940256832,0.054166281107421284
12259.0,-34.02567325755706,150.66231629398055,3.2160000801086404,113619,46074.0,7.831225999999999,45479.6725000002,7.83,11.808780000000004,28.1864417249999,42.13169,35941.60459925569,27867.32666024501,0.053635898424762914
12262.0,-34.02566416212858,150.66231875439658,3.2160000801086404,113620,45822.0,7.83,45259.4115000002,7.83,11.807746000000005,28.1878196099999,42.32853,35735.535964376395,27773.350052072008,0.05104579793148378
12263.0,-34.02565426970045,150.66232143041,3.2160000801086404,113621,44490.0,7.83,45086.3850000002,7.83,11.807056500000005,28.1882909249999,42.41856,35586.32309972406,27683.29721131681,0.049014978440748536
12265.0,-34.02564493315833,150.66232395605,3.2160000801086404,113622,45544.0,7.82,44880.757500000196,7.82,11.808952000000005,28.189225539999896,42.528420000000004,35393.53523495663,27596.06781991073,0.044953863563583774
12266.0,-34.02563659861471,150.6623262106381,3.2160000801086404,113623,45426.0,7.8212267,44819.175500000194,7.82,11.810675500000006,28.18969684999989,42.46586,35327.59096079165,27580.456287035762,0.04392309439980125
12269.0,-34.025630066271106,150.66232797771073,3.2160000801086404,113624,44283.0,7.81,44698.895000000186,7.81,11.811710500000006,28.191118794999905,42.56657,35178.80668833893,27575.469644578432,0.04033011280415622
12271.0,-34.02562406260131,150.66232960177115,3.2160000801086404,113625,44003.0,7.82,44607.3545000002,7.82,11.807573500000005,28.1920534099999,42.63828,35071.31370764549,27564.27607685972,0.037269047926989714
12273.0,-34.025615876876486,150.6623318161021,3.2160000801086404,113626,43720.0,7.7999899999999975,44610.37750000018,7.7999990000000015,11.810676000000004,28.19301072499989,42.55131,35041.08230558462,27607.762294758657,0.035206448687049814
12274.0,-34.02560741276534,150.66233410573966,3.2160000801086404,113627,44539.0,7.8,44609.230000000185,7.8,11.806539500000005,28.1934820399999,42.46891,35025.832605806136,27625.328451906644,0.03617562919631556
